mountain_name,elevation_ft,prominence_ft,image_dir,latitude,longitude
Abercrombie Mountain,7314,5174,images/Abercrombie Mountain,48.928335,-117.46
Abernathy Peak,8321,801,images/Abernathy Peak,48.47736,-120.52426
Amphitheater Mountain,8358,758,images/Amphitheater Mountain,48.97536,-120.19228
Argonaut Peak,8453,733,images/Argonaut Peak,47.47012,-120.86148
Austera Peak,8334,414,images/Austera Peak,48.56846,-121.10151
Azurite Peak,8400,1880,images/Azurite Peak,48.6573,-120.7521
Big Craggy Peak,8470,3070,images/Big Craggy Peak,48.763,-120.328
Big Snagtooth,8330,570,images/Big Snagtooth,48.5342,-120.5884
Black Peak,8970,3450,images/Black Peak,48.5236,-120.8162
Blackcap Mountain,8397,397,images/Blackcap Mountain,48.8036,-120.54294
Bonanza Peak,9511,3711,images/Bonanza Peak,48.2382,-120.8664
Boston Peak,8894,854,images/Boston Peak,48.49543,-121.036
Buck Mountain,8528,1888,images/Buck Mountain,48.09295,-120.91853
Cannon Mountain,8638,838,images/Cannon Mountain,47.50271,-120.80238
Cardinal Peak,8590,2070,images/Cardinal Peak,48.10291,-120.6126
Cashmere Mountain,8501,1581,images/Cashmere Mountain,47.55876,-120.84721
Castle Peak,8306,3226,images/Castle Peak,48.9821,-120.8622
Cathedral Peak,8601,961,images/Cathedral Peak,48.98912,-120.18897
Chiwawa Mountain,8459,1219,images/Chiwawa Mountain,48.16379,-120.90736
Clark Mountain,8602,1522,images/Clark Mountain,48.05005,-120.96861
Colchuck Peak,8705,665,images/Colchuck Peak,47.47824,-120.84634
Colfax Peak,9440,400,images/Colfax Peak,48.77141,-121.84385
Copper Peak,8964,484,images/Copper Peak,48.17457,-120.80399
Cosho Peak,8338,517,images/Cosho Peak,48.588914,-120.927825
Courtney Peak,8392,792,images/Courtney Peak,48.26062,-120.44358
Dark Peak,8504,264,images/Dark Peak,48.25493,-120.88167
Devore Peak,8360,1720,images/Devore Peak,48.2768,-120.7653
Dome Peak,8920,3040,images/Dome Peak,48.3034,-121.0295
Dorado Needle,8440,760,images/Dorado Needle,48.54983,-121.13853
Dragontail Peak,8840,1760,images/Dragontail Peak,47.4789,-120.8332
Dumbell Mountain,8421,1261,images/Dumbell Mountain,48.1801,-120.85866
Eldorado Peak,8868,2188,images/Eldorado Peak,48.5374,-121.1345
Emerald Peak,8422,742,images/Emerald Peak,48.11458,-120.62871
Enchantment Peak,8520,480,images/Enchantment Peak,47.4892,-120.80269
Flora Mountain,8320,1800,images/Flora Mountain,48.2431,-120.6957
Forbidden Peak,8815,1055,images/Forbidden Peak,48.51166,-121.05839
Fortress Mountain,8760,1680,images/Fortress Mountain,48.1598,-120.9332
